;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"640673																100g	100g																																																																																																																																																																																																																					unknown			unknown		1			-15	1	0								";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
, ALHO, PIMENTA BRANCA, MOSTARDA, GENGIBRE, MANJERONA, CULTURA STARTER, PÁPRICA, ACIDULANTE: GLUCONA DELTA LACTONA, REALCADOR DE SABOR: GLUTAMATO MONOSSÓDICO, ANTIOXIDANTE: ISOASCORBATO DE SÓDIO, CONSERVADORES: NITRATO DE SÓDIO E NITRITO DE SÓDIO, AROMATIZANTE: AROMA NATURAL. NÃO CONTÉM GLÚTEN. ALÉRGICOS: CONTÉM DERIVADOS DE LEITE. CONTÉM LACTOSE. &quot;"Bacillus thuringiensis, Streptomyces viridochromogenes, Agrobacterium tumefaciens e Zea mays.""			Glúten, Leite, Mostarda, Derivados do leite	en:gluten,en:milk,en:mustard,pt:derivados-do-leite				serving	100g	519	kJ			124	kcal			8.5	g			3	g			0.9	g							0.5	g			11	g			1357.5	mg			543	mg							519	kJ																																																																																																																																																																			https://www.sadia.com.br/produtos/salamitos-36g			4	en:4-ultra-processed-food-and-drink-products			unknown					-10	1	0								";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
